year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f50ce363297,ca,4.0,26538.0,silver,gray,ahfc/honda lease trust/hvt  inc.,11350.0,12900.0,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2012,Ford,Escape,Limited,SUV,automatic,1fmcu9eg9ckb86962,tn,33.0,38099.0,—,black,ford motor credit company llc,18350.0,16600.0,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2005,Hyundai,Elantra,GLS,hatchback,automatic,kmhdn56d45u168116,fl,19.0,164492.0,white,gray,meridian remarketing,1050.0,1150.0,Thu Jun 04 2015 08:00:00 GMT-0700 (PDT)
2006,GMC,Envoy XL,SLE,SUV,automatic,1gket16s566154659,tx,19.0,268459.0,gray,gray,fiserv/crescent bank & trust,1400.0,2300.0,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
2007,Lexus,ES 350,Base,Sedan,automatic,jthbj46g672095386,nj,29.0,149014.0,black,tan,hamilton honda,7600.0,7400.0,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2009,Jeep,Patriot,Sport,SUV,automatic,1j4ft28bx9d246122,tx,29.0,56210.0,white,black,onemain rem/freedom inc dba freedom auto group,8200.0,5300.0,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a48da084912,ca,44.0,18083.0,white,beige,donlen corporation,17950.0,19100.0,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftew1cm4eke09946,tn,48.0,19107.0,—,gray,ars/enterprise,23600.0,23300.0,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2008,Subaru,Impreza,WRX,Sedan,manual,jf1ge74608g509814,nc,25.0,122669.0,red,gray,rick hendrick toyota scion,9425.0,10300.0,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
2011,Cadillac,CTS Coupe,Base,CTS Coupe,automatic,1g6dc1ed0b0169824,il,2.0,33793.0,black,beige,ally,18100.0,16200.0,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2012,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg2ch302320,fl,28.0,61846.0,red,black,fiserv/security national automotive accept corp,13750.0,14600.0,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
2014,Dodge,Durango,Limited,SUV,automatic,1c4rdjdg9ec531003,pa,3.0,12738.0,black,black,pv holding inc/gdp,31000.0,28700.0,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
2014,Ford,F-350 Super Duty,Lariat,crew cab,automatic,1ft8w3bt8eea47460,tx,3.0,98917.0,gray,black,tdaf remarketing,36300.0,36250.0,Wed Jun 17 2015 03:15:00 GMT-0700 (PDT)
2009,Ford,Escape,XLT,SUV,automatic,1fmcu03749ka09100,nc,36.0,144605.0,gray,black,crossroads ford inc,6925.0,6600.0,Mon Feb 09 2015 01:00:00 GMT-0800 (PST)
2012,Ford,Focus,SE,Sedan,automatic,1fahp3f29cl201994,md,28.0,58196.0,gray,black,santander consumer,8650.0,6300.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2013,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj0dm157692,nj,3.0,21265.0,blue,black,ford motor credit company llc,9825.0,9900.0,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
2009,Kia,Optima,EX,Sedan,automatic,knage228495334799,pa,27.0,69124.0,silver,gray,jpmorgan chase bank n.a.,7225.0,6400.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2007,Dodge,Caravan,SE,Minivan,automatic,1d4gp25r77b101664,ga,41.0,25373.0,silver,gray,santander consumer,3025.0,4700.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2004,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18964b036886,va,19.0,165543.0,gray,gray,hendrick honda woodbridge,2450.0,2600.0,Thu Apr 30 2015 02:50:00 GMT-0700 (PDT)
2013,Chevrolet,Spark,LS,Hatchback,automatic,kl8cb6s91dc508187,tn,41.0,42837.0,white,gray,wells fargo dealer services,6900.0,7000.0,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2011,Ford,Escape,XLT,SUV,automatic,1fmcu0dg8bka86296,fl,24.0,146572.0,gold,black,riceland motors inc,5725.0,7500.0,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2004,Volkswagen,Touareg,V6,SUV,automatic,wvgbc67l84d015598,ga,19.0,129244.0,silver,black,sossa pre owned,3900.0,4700.0,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2011,Toyota,Camry,XLE,Sedan,automatic,4t1bf3ek0bu194622,nj,35.0,170067.0,gray,gray,certified motor car llc,11750.0,9900.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
